Dataset,Max Gini Index,Min Gini Index,Mean Gini Index,Length,optimal_kernel_length,Accuracy
ACSF1,0.9619328835011169,0.0007389468241367769,0.423329773533844,1460,7,0.91
ArrowHead,0.49020765113869114,0.22006072991048398,0.33153704437734827,251,10,0.8457142857142858
Chinatown,0.589620097412662,0.031228664295166575,0.18593639351756322,24,12,0.9854227405247812
CinCECGTorso,0.9112936851754949,0.4434280686851161,0.7684074793715892,1639,5,0.8724637681159421
CricketX,0.8773492328758863,0.18661763828339428,0.4716774356588642,300,12,0.8076923076923077
CricketY,0.8002532234835644,0.18608937935476833,0.4953268361553224,300,6,0.8461538461538461
CricketZ,0.8798399068855978,0.18883667147280336,0.476140266605635,300,12,0.8435897435897436
Crop,0.7708976912129729,0.029292753430259832,0.2271681555993925,46,12,0.7545238095238095
DiatomSizeReduction,0.6040473168237426,0.26704337868674943,0.3589050241451145,345,8,0.9869281045751634
DistalPhalanxOutlineCorrect,0.7130798155969473,0.21471152364606094,0.29067307602074177,80,11,0.7971014492753623
DistalPhalanxTW,0.7060443833468857,0.22098482178372236,0.2913461664782603,80,4,0.7194244604316546
ECG5000,0.7613987950775559,0.18039055473382026,0.40508858076634996,140,12,0.9491111111111112
EOGHorizontalSignal,0.8925513329708894,0.3438450333859504,0.7176325422253903,1250,13,0.6022099447513812
EOGVerticalSignal,0.8685620867141242,0.34021493465471875,0.7067124706475475,1250,9,0.5580110497237569
ElectricDevices,0.9871794871794872,0.0,0.3919475111096278,96,6,0.7417974322396577
EthanolLevel,0.7482879279584003,0.45850359665136264,0.6201770288640241,1751,15,0.586
FaceAll,0.6573775077567161,0.1982526624064772,0.37697413988040857,131,3,0.9520710059171598
FacesUCR,0.669953542611237,0.20492413505225393,0.38025551961786364,131,7,0.9639024390243902
Fish,0.7424112428382823,0.24873451343650288,0.3956965387766574,463,11,0.9885714285714284
FordA,0.8454936446139959,0.22821708020935283,0.42810496788444086,500,5,0.9393939393939394
FreezerRegularTrain,0.9539233633790062,0.18526844725623715,0.6296288201483758,301,14,0.9982456140350876
FreezerSmallTrain,0.921898004376604,0.22903364641349477,0.6405756656110452,301,3,0.9649122807017544
Ham,0.8057078944664677,0.30845322617933024,0.47256110211129193,431,3,0.7523809523809524
HandOutlines,0.7897492376028407,0.3184176394879794,0.5936309161928565,2709,13,0.9513513513513514
InlineSkate,0.7432043667591313,0.39415361490021317,0.5956742407412162,1882,3,0.4963636363636363
ItalyPowerDemand,0.551965623831421,0.15624942039612166,0.31153123814821376,24,11,0.9708454810495628
LargeKitchenAppliances,0.9982638888888888,0.0,0.8318510986505064,720,8,0.912
Mallat,0.8871356896160116,0.26428421488430387,0.4616543059413841,1024,7,0.9590618336886994
MedicalImages,0.9110023517695305,0.15001786718595067,0.37973489558302415,99,8,0.8039473684210526
MiddlePhalanxOutlineAgeGroup,0.7008044318737436,0.21914306877737477,0.2835786279249786,80,13,0.577922077922078
MiddlePhalanxOutlineCorrect,0.7008044318737436,0.21914306877737477,0.28360531743786827,80,4,0.852233676975945
MiddlePhalanxTW,0.7008044318737436,0.21914306877737477,0.2831075612781726,80,13,0.577922077922078
MixedShapesRegularTrain,0.7898486297518279,0.26758989535227073,0.45648335064901424,1024,8,0.9752577319587628
MixedShapesSmallTrain,0.7725301780869511,0.27217354437646635,0.45192783192995045,1024,14,0.9422680412371134
PhalangesOutlinesCorrect,0.716023773555841,0.21471152364606094,0.2879086229552353,80,11,0.844988344988345
Phoneme,0.8705074648557052,0.2698444630808581,0.45748624456551407,1024,5,0.2911392405063291
PigAirwayPressure,0.7926594880105304,0.34956609869050603,0.6652903927668039,2000,15,0.8605769230769231
PowerCons,0.7864146756228438,0.06762929557784192,0.4284509729874447,144,14,1.0
ProximalPhalanxOutlineCorrect,0.716023773555841,0.21956885331761744,0.28944747540709587,80,14,0.9140893470790378
ProximalPhalanxTW,0.7164582145192646,0.2199772739697603,0.2889673849322831,80,6,0.8146341463414634
RefrigerationDevices,0.9520967696993122,0.13353175631228875,0.4465970069820473,720,3,0.5813333333333334
ScreenType,0.9982638888888888,0.0,0.691660848942783,720,6,0.5146666666666667
SemgHandGenderCh2,0.7797677144960754,0.3425876296305803,0.5038572647498503,1500,14,0.9033333333333332
SemgHandSubjectCh2,0.7797677144960754,0.3425876296305803,0.4972666668725114,1500,11,0.8577777777777778
ShapesAll,0.8146623347475775,0.22826071687416327,0.4116985980499561,512,14,0.915
SmallKitchenAppliances,0.9980137665205823,0.0,0.7590742313767899,720,6,0.8293333333333334
SmoothSubspace,0.6328787613335356,0.007327047015879717,0.09354273245575431,15,4,0.9933333333333332
SonyAIBORobotSurface1,0.5324041563549495,0.1655708872792333,0.32649112520045626,70,9,0.9234608985024958
SonyAIBORobotSurface2,0.6702320919024194,0.20461275718098348,0.35129981618937917,65,3,0.944386149003148
StarLightCurves,0.7806506305136647,0.2591381552225609,0.5000513832785926,1024,13,0.9815444390480816
Strawberry,0.7251290857486581,0.24465882656995408,0.47631972571992054,235,9,0.9864864864864864
Symbols,0.6611500877439886,0.27387454844010284,0.4113514135817455,398,15,0.9778894472361808
ToeSegmentation1,0.6326399989867142,0.26323703375042684,0.37890880167676144,277,13,0.9692982456140352
UWaveGestureLibraryAll,0.9739494472760051,0.2487596190065391,0.46281180283092155,945,13,0.977107761027359
UWaveGestureLibraryX,0.9488718144897905,0.14714242962626134,0.4173868439311719,315,13,0.8598548297040759
UWaveGestureLibraryZ,0.9628908158945471,0.14264903054635314,0.411582015812526,315,9,0.8001116694584032
Wafer,0.9472685918771989,0.17383129902345862,0.4053221520700873,152,3,0.9991888384166124
WordSynonyms,0.774865343022455,0.17565433708239797,0.44019962972737525,270,15,0.7586206896551724
Yoga,0.7629136465069383,0.26911038446562796,0.39340446693218023,426,11,0.916
