dataset,num_vars_to_90,num_vars_to_95
ACSF1,17,31
Adiac,13,31
ArrowHead,9,15
BME,4,7
Beef,4,6
BeetleFly,11,14
BirdChicken,9,12
CBF,5,12
Car,13,23
Chinatown,10,14
ChlorineConcentration,7,34
CinCECGTorso,13,19
Coffee,11,18
Computers,14,34
CricketX,23,71
CricketY,25,75
CricketZ,23,70
Crop,26,157
DiatomSizeReduction,3,5
DistalPhalanxOutlineAgeGroup,10,59
DistalPhalanxOutlineCorrect,27,110
DistalPhalanxTW,10,57
DodgerLoopDay,23,41
DodgerLoopGame,7,11
DodgerLoopWeekend,8,11
ECG200,18,39
ECG5000,13,43
ECGFiveDays,8,12
EOGHorizontalSignal,4,13
EOGVerticalSignal,3,11
Earthquakes,2,17
ElectricDevices,15,61
EthanolLevel,19,49
FaceAll,227,346
FaceFour,12,16
FacesUCR,89,129
FiftyWords,60,138
Fish,30,58
FordA,601,1215
FordB,820,1474
FreezerRegularTrain,3,6
FreezerSmallTrain,1,3
Fungi,7,10
GunPoint,6,12
GunPointAgeSpan,10,22
GunPointMaleVersusFemale,10,22
GunPointOldVersusYoung,10,22
Ham,32,56
HandOutlines,29,69
Haptics,33,60
Herring,24,37
HouseTwenty,15,24
InlineSkate,16,31
InsectEPGRegularTrain,6,12
InsectEPGSmallTrain,4,7
InsectWingbeatSound,26,63
ItalyPowerDemand,23,39
LargeKitchenAppliances,14,30
Lightning2,8,16
Lightning7,8,17
Mallat,17,27
Meat,5,12
MedicalImages,19,56
MelbournePedestrian,176,434
MiddlePhalanxOutlineAgeGroup,15,81
MiddlePhalanxOutlineCorrect,26,122
MiddlePhalanxTW,17,85
MixedShapesRegularTrain,48,112
MixedShapesSmallTrain,25,44
MoteStrain,9,12
NonInvasiveFetalECGThorax1,32,135
NonInvasiveFetalECGThorax2,22,76
OSULeaf,59,102
OliveOil,13,19
PhalangesOutlinesCorrect,38,220
Phoneme,40,76
PigAirwayPressure,7,14
PigArtPressure,36,52
PigCVP,26,46
Plane,10,22
PowerCons,26,58
ProximalPhalanxOutlineAgeGroup,18,95
ProximalPhalanxOutlineCorrect,24,125
ProximalPhalanxTW,15,85
RefrigerationDevices,49,95
Rock,4,7
ScreenType,15,41
SemgHandGenderCh2,7,46
SemgHandMovementCh2,6,51
SemgHandSubjectCh2,7,58
ShapeletSim,15,17
ShapesAll,39,100
SmallKitchenAppliances,3,9
SmoothSubspace,96,120
SonyAIBORobotSurface1,12,15
SonyAIBORobotSurface2,17,21
StarLightCurves,13,51
Strawberry,11,32
SwedishLeaf,48,122
Symbols,3,4
SyntheticControl,11,90
ToeSegmentation1,19,26
ToeSegmentation2,15,22
Trace,2,4
TwoLeadECG,8,13
TwoPatterns,142,346
UMD,6,11
UWaveGestureLibraryAll,72,191
UWaveGestureLibraryX,26,103
UWaveGestureLibraryY,18,76
UWaveGestureLibraryZ,27,101
Wafer,7,15
Wine,8,14
WordSynonyms,47,100
Worms,22,53
WormsTwoClass,21,51
Yoga,17,42
