Dataset,Max_Gini_Index,Min_Gini_Index,Mean_Gini_Index,Median_Gini_Index,Max_PPV,Min_PPV,Mean_PPV,Median_PPV
ACSF1,0.9752139901297261,0.0007206769327738893,0.3624402099124822,0.3412664922099438,0.8433219178082192,0.13184931506849315,0.5053546575342466,0.5
Adiac,0.8320362923346137,0.0076012268238987435,0.26793262898303377,0.2767601928375868,0.9295774647887324,0.028169014084507043,0.4607280426146621,0.4859154929577465
ArrowHead,0.6793901583818664,0.00975180144283272,0.3035185675415051,0.306130328979052,0.7960199004975125,0.208955223880597,0.5292378385848535,0.5074626865671642
BME,0.8293585941299559,0.012340613567225045,0.3063449036325202,0.29421854965335253,1.0,0.028846153846153848,0.5013291666666666,0.5
Beef,0.7186751604436992,0.18499051984764903,0.4795022413925979,0.481315050761508,0.7367021276595744,0.2845744680851064,0.5049762411347518,0.5053191489361702
BeetleFly,0.6675377848987691,0.022380217691661763,0.30324890119288345,0.3160338838499974,0.7073170731707317,0.1902439024390244,0.4951358536585366,0.4975609756097561
BirdChicken,0.7165869385622997,0.04754361108081229,0.36023250819719155,0.3610696136871906,0.748780487804878,0.25609756097560976,0.4881871951219512,0.4951219512195122
CBF,0.6885137446551207,0.016028320411206942,0.33660115992983924,0.34074603327582553,0.9134615384615384,0.0,0.49712403846153846,0.5
Car,0.7474156355775857,0.07910781676644907,0.3743459623684573,0.3740275355164825,0.7645788336933045,0.23326133909287258,0.48036241900647947,0.48596112311015116
Chinatown,0.6297075820491135,0.0015300842849653717,0.17456519822823516,0.14869210544395395,1.0,0.0,0.58341,0.55
ChlorineConcentration,0.8926946343792019,0.022947276970291863,0.34644108788987416,0.3455795113918161,0.9477611940298507,0.0,0.4749603694589153,0.47761194029850745
CinCECGTorso,0.9128338852994018,0.2667116975828123,0.7343081621743933,0.7721898665455585,0.8073115003808073,0.18888042650418888,0.5018797410510282,0.5003808073115004
Coffee,0.6093094648659027,0.13851500364535352,0.380564723961675,0.3901743084584589,0.7782608695652173,0.26521739130434785,0.5083020186335404,0.5
Computers,0.9982638888888888,0.0,0.6963668635071664,0.7314432507485991,0.8871527777777778,0.0,0.3994100277777778,0.46875
CricketX,0.8922237910792198,0.044368371393761374,0.45043641071601104,0.4508277052658529,0.9041666666666667,0.10833333333333334,0.49175725427350425,0.49583333333333335
CricketY,0.8267724962776221,0.05486595049745502,0.4646430762065214,0.4693379690812624,0.8958333333333334,0.15833333333333333,0.5040436645299146,0.5
CricketZ,0.8867066012077087,0.034624910335307235,0.4554465732374182,0.455618887062914,0.8958333333333334,0.12083333333333333,0.49178068376068385,0.49583333333333335
Crop,0.8018300998397004,0.0016076326098649618,0.22138211017578058,0.245274740608738,1.0,0.0,0.6192986622807023,0.5526315789473685
DiatomSizeReduction,0.7384111230854933,0.02970402232992342,0.35294870505896764,0.3414884570804999,0.8483754512635379,0.1371841155234657,0.45978339350180497,0.49097472924187724
DistalPhalanxOutlineAgeGroup,0.786566157720563,0.015365626043751468,0.2642062651719436,0.2702223843409723,1.0,0.1875,0.5446692578125,0.546875
DistalPhalanxOutlineCorrect,0.786566157720563,0.012724597978349017,0.2621514851744651,0.2691640724857036,1.0,0.1875,0.5448526041666667,0.546875
DistalPhalanxTW,0.786566157720563,0.015365626043751468,0.2640780795596936,0.27015312507433253,1.0,0.1875,0.5448408984375,0.546875
DodgerLoopDay,,,,,0.8663793103448276,0.0,0.44845275198939,0.4870689655172414
DodgerLoopGame,,,,,0.8448275862068966,0.0,0.44212801724137923,0.4870689655172414
DodgerLoopWeekend,,,,,0.8448275862068966,0.0,0.46512629310344816,0.49137931034482757
ECG200,0.7525211621219872,0.017481042708946348,0.30483887424075184,0.31551670823507716,0.782051282051282,0.0,0.4907958974358974,0.5
ECG5000,0.8092971774029493,0.010241335955673447,0.365581697917732,0.36012598331898465,1.0,0.0,0.5062766964285713,0.5089285714285714
ECGFiveDays,0.8809113808751486,0.05412669199615505,0.38766606065357795,0.3537995139090339,1.0,0.18181818181818182,0.5128818181818182,0.5
EOGHorizontalSignal,0.8927307466716763,0.16528940982357532,0.6600167622395856,0.6829594726892855,1.0,0.081,0.4983033232044198,0.5
EOGVerticalSignal,0.8747261539430882,0.025266078313594287,0.6473702626507536,0.6779556192595404,1.0,0.0,0.4959086795580111,0.5
Earthquakes,0.9058754690221481,0.07944855987920507,0.36276918961485605,0.3656581586919071,0.8097560975609757,0.06829268292682927,0.4923723148007878,0.4975609756097561
ElectricDevices,0.9871794871794872,-4.440892098500626e-16,0.3686755615806293,0.3371775795213768,1.0,0.0,0.46308710939519804,0.48717948717948717
EthanolLevel,0.797288851400496,0.17572868819135057,0.5578960224811687,0.5947759201142083,0.6995003568879372,0.28551034975017847,0.4777448874386777,0.49464668094218417
FaceAll,0.7087700225676796,0.010575763842560648,0.318327769254893,0.3256953262584071,1.0,0.0,0.5161160884353742,0.5142857142857142
FaceFour,0.7165287533220231,0.06460256070289472,0.3967658642171561,0.40009562556907624,0.7178571428571429,0.1357142857142857,0.49553973214285707,0.49642857142857144
FacesUCR,0.7124493301324681,0.01234984337443168,0.3243106757679561,0.3281958465768612,1.0,0.0,0.5096536666666666,0.5047619047619047
FiftyWords,0.916751857897978,0.016340083952404494,0.3995974810475599,0.40047034256172176,1.0,0.13425925925925927,0.5014392592592591,0.5
Fish,0.7501614516782862,0.046813473245401305,0.34229744043875765,0.33111212180876315,0.7924528301886793,0.20215633423180593,0.476118752406623,0.49326145552560646
FordA,0.8590868648782433,0.029333363502898502,0.35385145366188375,0.3604690921850602,1.0,0.0,0.5000015148569843,0.5
FordB,0.8562935868912531,0.030288728324498138,0.3493576040521223,0.35863601350275887,1.0,0.0,0.5000494685093512,0.5
FreezerRegularTrain,0.9539233633790062,0.10185209404245765,0.6022302984748444,0.6195919845892924,0.9336099585062241,0.0912863070539419,0.550148713692946,0.5062240663900415
FreezerSmallTrain,0.921898004376604,0.1213822468328365,0.6120395725774357,0.6392315727395141,0.9294605809128631,0.21991701244813278,0.5505632780082987,0.5062240663900415
Fungi,0.8744472237742897,0.13957821073359467,0.5154731152569891,0.4946836339057684,0.8385093167701864,0.055900621118012424,0.4851086956521739,0.4968944099378882
GunPoint,0.9365849306847095,0.013420845938736603,0.32273655799266987,0.3125990645454745,0.8833333333333333,0.175,0.504527,0.5
GunPointAgeSpan,0.9250043957948227,0.008295066904486337,0.3404954625869329,0.3244548498698526,1.0,0.0,0.5638684567901234,0.5166666666666667
GunPointMaleVersusFemale,0.9257134376758224,0.006325707696580696,0.3384070650151239,0.3239602798985035,1.0,0.0,0.564177901234568,0.5166666666666667
GunPointOldVersusYoung,0.9234977653047285,0.006325707696580696,0.33298729356628504,0.3202200857339249,1.0,0.0,0.5636882352941177,0.5083333333333333
Ham,0.8853004764062413,0.12024213254998872,0.4425484197753919,0.44132478445265977,0.6927536231884058,0.19130434782608696,0.48368841909320565,0.4927536231884058
